Ид|Наименование|Родитель|РодительИД|
f7bcc68a-a341-11e1-ba89-1c6f6571f455|НЕ ОБРАБОТАНО||00000000-0000-0000-0000-000000000000|
00532b77-6074-11dd-9fa8-001bfcb42550|BELIMO|НЕ ОБРАБОТАНО|f7bcc68a-a341-11e1-ba89-1c6f6571f455|
58af95c9-1ab0-11df-b3d9-001a80b96ce5|BROEN|НЕ ОБРАБОТАНО|f7bcc68a-a341-11e1-ba89-1c6f6571f455|
00532b75-6074-11dd-9fa8-001bfcb42550|Ballorex S|BROEN|58af95c9-1ab0-11df-b3d9-001a80b96ce5|
5cf1a341-0bca-11de-8972-001e3d8af2c0|BUGATTI (Италия)|НЕ ОБРАБОТАНО|f7bcc68a-a341-11e1-ba89-1c6f6571f455|
054bf97e-b9c4-11e1-9561-1c6f6571f455|Газовые|BUGATTI (Италия)|5cf1a341-0bca-11de-8972-001e3d8af2c0|
00532b6e-6074-11dd-9fa8-001bfcb42550|DANFOSS (Дания)|НЕ ОБРАБОТАНО|f7bcc68a-a341-11e1-ba89-1c6f6571f455|
ef4be67f-d69a-11df-a16b-001e3d8af2c0|Клапана соленойдные|DANFOSS (Дания)|00532b6e-6074-11dd-9fa8-001bfcb42550|
6ea1408e-3703-11de-a99a-001e3d8af2c0|Клапаны MSV, USV|DANFOSS (Дания)|00532b6e-6074-11dd-9fa8-001bfcb42550|
6ea14089-3703-11de-a99a-001e3d8af2c0|Клапаны обратные Danfoss|DANFOSS (Дания)|00532b6e-6074-11dd-9fa8-001bfcb42550|
6ea14088-3703-11de-a99a-001e3d8af2c0|Краны шаровые Danfoss|DANFOSS (Дания)|00532b6e-6074-11dd-9fa8-001bfcb42550|
ea5768c8-2d1a-11e1-95ec-1c6f6571f455|JiP|Краны шаровые Danfoss|6ea14088-3703-11de-a99a-001e3d8af2c0|
c2b2d78e-2d50-11e1-95ec-1c6f6571f455|Радиаторные клапаны и термостатические головки|DANFOSS (Дания)|00532b6e-6074-11dd-9fa8-001bfcb42550|
6ea1408d-3703-11de-a99a-001e3d8af2c0|Фильтры Danfoss|DANFOSS (Дания)|00532b6e-6074-11dd-9fa8-001bfcb42550|
6ea14087-3703-11de-a99a-001e3d8af2c0|Электроприводы Danfoss|DANFOSS (Дания)|00532b6e-6074-11dd-9fa8-001bfcb42550|
