Ид|Артикул|Услуга|Набор|СтавкаНДС|ИдРодителя|Наименование|Количество|МераИзмерения|Цена|Валюта|Остаток|Картинка|ДатаОбновления|
45d351c2-562d-11e1-9e14-1c6f6571f455||0|0|0|417032c3-b281-11e0-80e3-001e3d8af2c0|Элементы питания батарейка DURACELL Turbo AA/LR6 алкалин. бл./4|0|шт|0||1|0|22.10.2012 17:12:29|
45d351c3-562d-11e1-9e14-1c6f6571f455||0|0|0|417032c3-b281-11e0-80e3-001e3d8af2c0|Маркер перманент синий 1-3мм Германия|0|шт|0||5|0|22.10.2012 17:12:29|
45d351c4-562d-11e1-9e14-1c6f6571f455||0|0|0|417032c3-b281-11e0-80e3-001e3d8af2c0|Клейкая лента 48х132|0|шт|0||5|0|22.10.2012 17:12:29|
45d351c5-562d-11e1-9e14-1c6f6571f455||0|0|0|417032c3-b281-11e0-80e3-001e3d8af2c0|Папка с арочным мех. Комус синяя|0|шт|0||3|0|22.10.2012 17:12:29|
45d351c6-562d-11e1-9e14-1c6f6571f455||0|0|0|417032c3-b281-11e0-80e3-001e3d8af2c0|Вешалка VP_плечики пластмас|0|шт|0||2|0|22.10.2012 17:12:29|
45d351c7-562d-11e1-9e14-1c6f6571f455||0|0|0|417032c3-b281-11e0-80e3-001e3d8af2c0|Ролики для факсов 216мм.|0|шт|0||10|0|22.10.2012 17:12:29|
45d351c8-562d-11e1-9e14-1c6f6571f455||0|0|0|417032c3-b281-11e0-80e3-001e3d8af2c0|Маркер перманент желтый 1-4,5мм Германия|0|шт|0||2|0|22.10.2012 17:12:29|
45d351c9-562d-11e1-9e14-1c6f6571f455||0|0|0|417032c3-b281-11e0-80e3-001e3d8af2c0|Маркер перманент оранжевый 1-4,5мм Германия|0|шт|0||2|0|22.10.2012 17:12:29|
45d351ca-562d-11e1-9e14-1c6f6571f455||0|0|0|417032c3-b281-11e0-80e3-001e3d8af2c0|Степлер RG PS-11 до 10 листов, серо-рыжий|0|шт|0||1|0|22.10.2012 17:12:29|
45d351cb-562d-11e1-9e14-1c6f6571f455||0|0|0|417032c3-b281-11e0-80e3-001e3d8af2c0|Диспенсер для клейкой ленты|0|шт|0||1|0|22.10.2012 17:12:29|
24f365f7-7df4-11e0-86d3-001e3d8af2c0||0|0|0|417032c3-b281-11e0-80e3-001e3d8af2c0|Корзина офисная 10л решетчатая Attache серая|0|шт|0||4|0|22.10.2012 17:12:29|
24f365f9-7df4-11e0-86d3-001e3d8af2c0||0|0|0|417032c3-b281-11e0-80e3-001e3d8af2c0|Пакеты для мусора Комус НД 30л 48х58 10 мкм 30шт./рулон|0|рул|0||1|0|22.10.2012 17:12:29|
6db281ec-b350-11e0-be8b-001a80b96ce5||0|0|0|417032c3-b281-11e0-80e3-001e3d8af2c0|Лоток для бумаг ATTACHE синий 5шт/упак|0|упак|0||1|0|22.10.2012 17:12:29|
6db281ee-b350-11e0-be8b-001a80b96ce5||0|0|0|417032c3-b281-11e0-80e3-001e3d8af2c0|Блок-кубик в стакане 9х9х5 ATTACHE|0|шт|0||1|0|22.10.2012 17:12:29|
6db281f0-b350-11e0-be8b-001a80b96ce5||0|0|0|417032c3-b281-11e0-80e3-001e3d8af2c0|Планшет BANTEX синий|0|шт|0||1|0|22.10.2012 17:12:29|
6db281f2-b350-11e0-be8b-001a80b96ce5||0|0|0|417032c3-b281-11e0-80e3-001e3d8af2c0|Салфетки в тубе д/чист. экрана MEGAoffice 100шт|0|упак|0||1|0|22.10.2012 17:12:29|
